January 2019 Regularly Scheduled Flights with More than 50% Delayed Arrivals of More than 30 Minutes,,,,,,,,,
Ranked by Percent of Flight Operations Not Arriving On-Time,,,,,,,,,
Rank,Carrier,Flight Number,Month,Origin-Dest,Scheduled Departure Time,Number of Operations (minimum of 10 per month),Number of Flight Operations Not Arriving On-Time*,Percent of Flight Operations Not Arriving On-Time*,Average Number of Minutes of Delay (30 min late flights only)**
1,ExpressJet***,3986,Jan,CHA-ORD,800,10,10,100.00,0
2,ExpressJet***,4401,Jan,ORD-CHA,1930,12,12,100.00,0
3,Endeavor,5139,Jan,GRR-LGA,1816,10,9,90.00,110
4,ExpressJet,4150,Jan,EWR-ORF,2004,11,9,81.82,86
5,Republic Airways,3582,Jan,ORF-EWR,1745,19,15,78.95,142
7,SkyWest ,3799,Jan,ORD-LGA,1830,25,19,76.00,127
6,ExpressJet,3973,Jan,BTV-EWR,1745,25,19,76.00,121
8,ExpressJet,4215,Jan,CMH-EWR,1900,23,17,73.91,165
9,ExpressJet,4325,Jan,PWM-EWR,1818,15,11,73.33,82
10,ExpressJet,4357,Jan,SYR-EWR,2020,22,16,72.73,266
12,Southwest,1765,Jan,MDW-EWR,1905,22,16,72.73,104
11,SkyWest ,4857,Jan,LGA-GSO,1525,11,8,72.73,95
13,ExpressJet,4329,Jan,CLE-EWR,1848,14,10,71.43,108
14,SkyWest ,3749,Jan,LGA-ORD,1615,26,18,69.23,89
15,Republic Airways,3585,Jan,PIT-EWR,1915,29,20,68.97,99
16,American,178,Jan,PBI-ORD,1653,16,11,68.75,89
17,ExpressJet,4273,Jan,ORD-OKC,1020,16,11,68.75,54
18,Envoy Airlines,3937,Jan,LGA-RIC,1747,19,13,68.42,80
21,Republic Airways,3527,Jan,DTW-EWR,1840,22,15,68.18,135
19,SkyWest ,3783,Jan,ORD-LGA,1730,22,15,68.18,127
20,Delta,329,Jan,LGA-ORD,1815,22,15,68.18,109
22,Republic Airways,3441,Jan,BTV-EWR,1900,25,17,68.00,126
23,SkyWest ,5835,Jan,ASE-SFO,1830,25,17,68.00,108
24,SkyWest ,5864,Jan,ORD-SCE,1800,25,17,68.00,94
25,Southwest,3536,Jan,MDW-LGA,1450,28,19,67.86,98
27,SkyWest ,3145,Jan,ORD-OKC,1830,31,21,67.74,92
26,ExpressJet,4026,Jan,ORD-RIC,2105,31,21,67.74,82
28,ExpressJet,4010,Jan,ALB-EWR,1830,21,14,66.67,154
31,SkyWest ,5892,Jan,IND-ORD,1245,24,16,66.67,140
32,Republic Airways,3630,Jan,ORD-LGA,1600,24,16,66.67,121
33,ExpressJet,4331,Jan,SAV-ORD,1035,15,10,66.67,104
30,JetBlue,127,Jan,EWR-MCO,2110,18,12,66.67,104
29,JetBlue,128,Jan,MCO-EWR,1742,18,12,66.67,99
34,SkyWest ,5680,Jan,ORD-OKC,1020,27,18,66.67,88
35,Envoy Airlines,3336,Jan,RIC-LGA,1354,23,15,65.22,127
36,SkyWest ,3061,Jan,ORD-TVC,1330,31,20,64.52,135
38,SkyWest ,4088,Jan,GSO-LGA,1815,14,9,64.29,100
39,Endeavor,3375,Jan,STL-LGA,1653,14,9,64.29,84
37,Republic Airways,3467,Jan,DCA-EWR,1940,28,18,64.29,71
40,SkyWest ,5552,Jan,ORD-GRR,1750,14,9,64.29,61
42,ExpressJet,4095,Jan,MKE-ORD,1856,25,16,64.00,229
41,Envoy Airlines,3888,Jan,DTW-LGA,1726,25,16,64.00,104
43,ExpressJet,4253,Jan,ORD-GSP,1915,25,16,64.00,103
45,United,1476,Jan,RDU-EWR,1215,25,16,64.00,93
44,ExpressJet,3992,Jan,EWR-CLE,2005,25,16,64.00,90
53,ExpressJet,4428,Jan,ORD-MKE,1545,22,14,63.64,154
46,ExpressJet,4181,Jan,MKE-ORD,1735,22,14,63.64,139
47,ExpressJet,4059,Jan,EWR-MKE,1640,22,14,63.64,130
48,SkyWest ,3804,Jan,ORD-LGA,1130,22,14,63.64,126
50,ExpressJet,4064,Jan,EWR-SYR,1829,22,14,63.64,123
52,SkyWest ,3803,Jan,ORD-LGA,1930,22,14,63.64,114
54,Republic Airways,3488,Jan,EWR-GRR,2029,22,14,63.64,107
55,Endeavor,3423,Jan,CVG-EWR,1315,22,14,63.64,106
56,Republic Airways,5944,Jan,LGA-DCA,1700,22,14,63.64,93
49,Republic Airways,4326,Jan,DCA-LGA,1800,22,14,63.64,80
51,Republic Airways,4326,Jan,LGA-DCA,2000,22,14,63.64,69
57,Republic Airways,3748,Jan,DTW-EWR,1750,30,19,63.33,164
58,Southwest,388,Jan,MDW-LGA,1720,30,19,63.33,84
59,ExpressJet,4118,Jan,CAK-EWR,1745,19,12,63.16,171
61,SkyWest ,3779,Jan,ORD-LGA,1530,27,17,62.96,135
60,ExpressJet,4345,Jan,PVD-EWR,1755,27,17,62.96,123
62,SkyWest ,5915,Jan,ORD-IND,1005,24,15,62.50,91
63,SkyWest ,5595,Jan,ORD-MDT,1800,24,15,62.50,71
66,Republic Airways,3589,Jan,LGA-ORD,2000,21,13,61.90,152
65,ExpressJet,4006,Jan,EWR-DCA,2038,21,13,61.90,135
67,Endeavor,5393,Jan,CHO-LGA,1453,21,13,61.90,125
64,ExpressJet,3972,Jan,ABE-ORD,1730,21,13,61.90,118
69,SkyWest ,2966,Jan,HDN-ORD,1354,26,16,61.54,111
68,Republic Airways,5935,Jan,DCA-LGA,1700,26,16,61.54,97
70,JetBlue,1106,Jan,ORD-JFK,1817,31,19,61.29,146
72,United,2213,Jan,JAC-EWR,1440,31,19,61.29,125
71,SkyWest ,5869,Jan,ORD-ASE,1255,31,19,61.29,109
74,JetBlue,543,Jan,EWR-PBI,1914,18,11,61.11,122
73,ExpressJet,4182,Jan,EWR-JAX,2030,18,11,61.11,96
77,United,693,Jan,LGA-ORD,1900,23,14,60.87,165
78,SkyWest ,3763,Jan,LGA-ORD,2015,23,14,60.87,99
79,Envoy Airlines,3741,Jan,GSO-LGA,1732,23,14,60.87,89
76,Envoy Airlines,3392,Jan,DTW-LGA,1539,23,14,60.87,88
80,Envoy Airlines,4030,Jan,LGA-GSO,1935,23,14,60.87,66
75,Southwest,1943,Jan,LGA-MKE,1910,23,14,60.87,63
81,ExpressJet,4037,Jan,CLE-EWR,1312,28,17,60.71,139
88,ExpressJet,3988,Jan,ALB-ORD,1705,25,15,60.00,145
92,ExpressJet,4255,Jan,IND-ORD,1820,25,15,60.00,134
90,SkyWest ,5030,Jan,ORD-SPI,1400,25,15,60.00,118
91,Republic Airways,3528,Jan,EYW-EWR,1615,25,15,60.00,117
82,Republic Airways,3552,Jan,GRR-EWR,1452,25,15,60.00,113
83,SkyWest ,5252,Jan,ORD-BIS,1000,25,15,60.00,106
89,Alaska,186,Jan,SFO-EWR,1000,20,12,60.00,99
85,ExpressJet,4238,Jan,ORD-COU,1937,25,15,60.00,89
86,Envoy Airlines,3692,Jan,ORD-CMI,1820,30,18,60.00,82
84,Envoy Airlines,4023,Jan,CLE-LGA,1542,25,15,60.00,75
87,Endeavor,5150,Jan,LGA-GRR,1514,10,6,60.00,69
93,SkyWest ,5041,Jan,ORD-MKG,1900,25,15,60.00,67
94,SkyWest ,5552,Jan,ORD-FAR,1954,10,6,60.00,63
95,SkyWest ,5297,Jan,ORD-DSM,2110,10,6,60.00,47
96,Republic Airways,3501,Jan,DTW-EWR,1710,27,16,59.26,138
97,SkyWest ,5826,Jan,ASE-ORD,1630,27,16,59.26,132
99,Southwest,389,Jan,LGA-MDW,2055,27,16,59.26,90
98,SkyWest ,5259,Jan,CHA-ORD,1744,27,16,59.26,76
105,ExpressJet,4368,Jan,COU-ORD,1500,22,13,59.09,171
107,ExpressJet,4338,Jan,DCA-EWR,1856,22,13,59.09,171
108,Mesa Airlines,6053,Jan,LGA-IAD,1445,22,13,59.09,162
110,Republic Airways,3548,Jan,MSY-EWR,1400,22,13,59.09,133
112,Republic Airways,5941,Jan,LGA-DCA,1800,22,13,59.09,106
100,Endeavor,5309,Jan,ORF-LGA,1935,22,13,59.09,105
101,SkyWest ,3753,Jan,LGA-ORD,1715,22,13,59.09,104
109,Endeavor,3423,Jan,EWR-CVG,1551,22,13,59.09,104
111,Endeavor,5510,Jan,CVG-EWR,1701,22,13,59.09,100
102,ExpressJet,4389,Jan,MLI-ORD,1740,22,13,59.09,96
103,Endeavor,5287,Jan,ORF-LGA,1447,22,13,59.09,94
104,ExpressJet,4414,Jan,ORD-MLI,1605,22,13,59.09,94
113,Endeavor,5493,Jan,CLE-LGA,1719,22,13,59.09,94
106,Republic Airways,3541,Jan,EWR-DFW,2011,22,13,59.09,74
114,SkyWest ,5298,Jan,ORD-SBN,1755,22,13,59.09,73
115,Delta,2192,Jan,ORD-LGA,1030,17,10,58.82,91
116,JetBlue,1944,Jan,PBI-EWR,1703,29,17,58.62,121
120,Southwest,140,Jan,LAX-SFO,1620,24,14,58.33,155
118,SkyWest ,5961,Jan,ASE-DEN,724,12,7,58.33,145
119,SkyWest ,5881,Jan,SCE-ORD,800,24,14,58.33,122
121,PSA Airlines,5503,Jan,LGA-DAY,1813,24,14,58.33,115
117,SkyWest ,5143,Jan,ORD-EAU,1935,12,7,58.33,109
125,SkyWest ,5128,Jan,AVL-ORD,1720,31,18,58.06,275
126,SkyWest ,5643,Jan,ASE-ORD,1306,31,18,58.06,129
127,SkyWest ,5622,Jan,ASE-ORD,1100,31,18,58.06,127
122,Envoy Airlines,3678,Jan,FAR-ORD,1548,31,18,58.06,110
123,JetBlue,672,Jan,FLL-LGA,1754,31,18,58.06,109
124,JetBlue,1371,Jan,LGA-FLL,2135,31,18,58.06,107
128,SkyWest ,5875,Jan,ORD-ASE,1535,31,18,58.06,105
129,SkyWest ,5136,Jan,ORD-AVL,1400,31,18,58.06,99
130,SkyWest ,5846,Jan,ORD-SBN,1413,31,18,58.06,86
131,Republic Airways,3612,Jan,SDF-EWR,1535,19,11,57.89,136
132,Republic Airways,3544,Jan,ROC-EWR,1910,19,11,57.89,126
133,Republic Airways,3695,Jan,PIT-EWR,2025,19,11,57.89,108
134,SkyWest ,3955,Jan,DFW-LGA,1010,19,11,57.89,100
135,SkyWest ,5638,Jan,ORD-LEX,1430,19,11,57.89,95
136,Envoy Airlines,3456,Jan,ORD-ALB,1440,26,15,57.69,99
137,Envoy Airlines,3456,Jan,ALB-ORD,1758,26,15,57.69,85
138,SkyWest ,3101,Jan,ORD-DTW,1530,26,15,57.69,79
139,SkyWest ,2966,Jan,ORD-HDN,1115,26,15,57.69,61
143,ExpressJet,4135,Jan,ORD-LEX,2105,21,12,57.14,140
140,SkyWest ,3827,Jan,BHM-LGA,1609,14,8,57.14,136
146,SkyWest ,3933,Jan,LGA-DFW,1729,21,12,57.14,101
147,Endeavor,5452,Jan,DSM-LGA,1446,21,12,57.14,98
148,JetBlue,706,Jan,FLL-EWR,1900,28,16,57.14,97
151,SkyWest ,3835,Jan,LGA-BHM,1350,14,8,57.14,94
144,ExpressJet,4206,Jan,ORD-ABE,1400,21,12,57.14,94
149,Frontier,1447,Jan,TPA-ORD,1824,14,8,57.14,93
152,Frontier,2510,Jan,GRR-TPA,1434,14,8,57.14,92
141,JetBlue,1906,Jan,BNA-BOS,1954,28,16,57.14,86
142,Spirit,1165,Jan,ATL-EWR,1656,14,8,57.14,82
145,Frontier,2411,Jan,PBI-CLE,1105,14,8,57.14,79
150,Republic Airways,3416,Jan,EWR-CLT,2155,14,8,57.14,67
157,United,1642,Jan,ORD-LGA,1501,23,13,56.52,145
156,PSA Airlines,5378,Jan,CMH-LGA,1633,23,13,56.52,107
154,SkyWest ,5490,Jan,ORD-DCA,1700,23,13,56.52,101
158,Endeavor,5232,Jan,CVG-LGA,1902,23,13,56.52,97
155,American,2147,Jan,LGA-BOS,2000,23,13,56.52,79
153,PSA Airlines,5487,Jan,ORF-LGA,1047,23,13,56.52,65
159,ExpressJet,4194,Jan,OKC-ORD,1405,16,9,56.25,0
173,SkyWest ,5837,Jan,FSD-ORD,1815,25,14,56.00,409
162,SkyWest ,5845,Jan,ORD-FSD,1545,25,14,56.00,290
165,ExpressJet,4254,Jan,ORD-HSV,1125,25,14,56.00,156
167,JetBlue,2679,Jan,BOS-EWR,1938,25,14,56.00,131
169,United,1235,Jan,TPA-EWR,1512,25,14,56.00,120
172,ExpressJet,4327,Jan,RIC-ORD,1900,25,14,56.00,119
163,SkyWest ,5401,Jan,OMA-ORD,1835,25,14,56.00,118
160,ExpressJet,4119,Jan,EWR-RIC,2036,25,14,56.00,112
161,SkyWest ,5071,Jan,SPI-ORD,1535,25,14,56.00,111
166,ExpressJet,4267,Jan,ORD-IND,1537,25,14,56.00,110
168,SkyWest ,3784,Jan,LGA-GSP,2128,25,14,56.00,109
170,SkyWest ,5070,Jan,PAH-CGI,2310,25,14,56.00,105
171,ExpressJet,4349,Jan,ORF-ORD,1720,25,14,56.00,85
164,Endeavor,5255,Jan,EWR-MSP,1937,25,14,56.00,82
175,United,327,Jan,BZN-EWR,1325,27,15,55.56,107
176,Envoy Airlines,3355,Jan,BUF-ORD,1809,27,15,55.56,98
178,JetBlue,1472,Jan,FLL-LGA,2016,27,15,55.56,96
177,Southwest,1749,Jan,MDW-EWR,1415,27,15,55.56,88
179,SkyWest ,5921,Jan,ORD-CHA,1930,27,15,55.56,77
174,Southwest,1764,Jan,LGA-MDW,1615,27,15,55.56,60
181,SkyWest ,5336,Jan,ORD-ATL,1750,20,11,55.00,110
182,Endeavor,3358,Jan,RSW-LGA,1530,20,11,55.00,108
180,Envoy Airlines,4012,Jan,STL-ORD,1817,20,11,55.00,66
